
% Model name: WignerCrystal 

% Model Hamilton:

%   1. term:   cp_u x c_u,  phase:    -1
%   2. term:   cp_d x c_d,  phase:    -1

%   1. term:
A_in = [...
    1     1       1.630177887900
    2     1      -0.158670274100
    3     1      -1.162243617800
    4     1       0.108749108700
    1     2      -0.158670274100
    2     2       1.637470259900
    3     2      -0.286717975800
    4     2       1.116645683100
    1     3      -1.162243617800
    2     3      -0.286717975800
    3     3       3.940643388800
    4     3       0.729539943300
    1     4       0.108749108700
    2     4       1.116645683100
    3     4       0.729539943300
    4     4       4.212322003400
    5     5       1.630177887900
    6     5      -0.158670274100
    7     5      -1.162243617800
    8     5       0.108749108700
    5     6      -0.158670274100
    6     6       1.637470259900
    7     6      -0.286717975800
    8     6       1.116645683100
    5     7      -1.162243617800
    6     7      -0.286717975800
    7     7       3.940643388800
    8     7       0.729539943300
    5     8       0.108749108700
    6     8       1.116645683100
    7     8       0.729539943300
    8     8       4.212322003400
];

%   2. term:
A_in = [...
    1     1       1.630177887900
    2     1      -0.158670274100
    3     1      -1.162243617800
    4     1       0.108749108700
    1     2      -0.158670274100
    2     2       1.637470259900
    3     2      -0.286717975800
    4     2       1.116645683100
    1     3      -1.162243617800
    2     3      -0.286717975800
    3     3       3.940643388800
    4     3       0.729539943300
    1     4       0.108749108700
    2     4       1.116645683100
    3     4       0.729539943300
    4     4       4.212322003400
    5     5       1.630177887900
    6     5      -0.158670274100
    7     5      -1.162243617800
    8     5       0.108749108700
    5     6      -0.158670274100
    6     6       1.637470259900
    7     6      -0.286717975800
    8     6       1.116645683100
    5     7      -1.162243617800
    6     7      -0.286717975800
    7     7       3.940643388800
    8     7       0.729539943300
    5     8       0.108749108700
    6     8       1.116645683100
    7     8       0.729539943300
    8     8       4.212322003400
];
